City,Neighborhood,price,rooms,price_per_room,price_per_sqm
Jerusalem,Kiryat HaYovel,4700.0,3.0,1566.67,65.28
Jerusalem,Ramat Beit HaKerem,12000.0,5.5,2181.82,85.71
Jerusalem,Kiryat Menachem,8000.0,4.0,2000.0,80.0
Jerusalem,Katamon A-F,27000.0,5.0,5400.0,158.82
Jerusalem,Kiryat HaYovel,12000.0,5.0,2400.0,85.71
Jerusalem,Kiryat HaYovel,7500.0,4.0,1875.0,78.95
Jerusalem,Kiryat HaYovel,10500.0,5.0,2100.0,89.74
Jerusalem,Kiryat HaYovel,4900.0,1.5,3266.67,94.23
Jerusalem,Kiryat HaYovel,50000.0,15.0,3333.33,125.0
Jerusalem,Givat Massua,6700.0,3.0,2233.33,89.33
Jerusalem,Givat Massua,7500.0,4.0,1875.0,75.0
Jerusalem,Givat Massua,8500.0,4.0,2125.0,85.0
Jerusalem,Ein Kerem,15000.0,5.0,3000.0,61.98
Jerusalem,Malha,14900.0,8.0,1862.5,99.33
